id,freqMean,freqStd,bandMean,bandStd,dbmMean,dbmStd,snrMean,snrStd,MinBand,MaxBand,avgFre,avgBand,avgDbm,avgSnr,minTime,maxTime
60,431.37694,0.00335,0.14361,0.00811,-71.03756,1.39957,25.13003,1.36317,0.12264,0.16671,431.37695,0.14362,-71.027,25.1339,1564783200.0,1564804979.0
61,431.75983,0.00143,0.13477,0.00472,-63.75958,1.13116,33.0262,0.91336,0.12444,0.17204,431.75983,0.13477,-63.75359,33.0262,1564783200.0,1564804979.0
12,432.03904,0.00612,0.11307,0.00743,-84.58379,0.90249,11.22702,0.52949,0.09302,0.17313,432.0391,0.11307,-84.5841,11.22684,1564783200.0,1564804979.0
62,432.66312,0.00113,0.14077,0.00378,-65.11717,1.66786,30.3832,1.7155,0.13274,0.14942,432.6631,0.14077,-65.11717,30.3832,1564783200.0,1564804979.0
13,433.41013,0.00197,0.14715,0.00495,-45.71897,2.40668,49.37274,2.34858,0.13639,0.15728,433.41013,0.14715,-49.13851,49.37274,1564783200.0,1564804979.0
14,434.00272,0.00143,0.13477,0.00472,-63.75958,1.13116,33.0262,0.91336,0.12444,0.14374,434.00266,0.13477,-63.75663,33.0262,1564783200.0,1564804979.0
15,434.41256,0.00335,0.14361,0.00811,-71.03756,1.39957,25.13003,1.36317,0.12264,0.16671,434.41257,0.14361,-71.03427,25.13003,1564783200.0,1564804979.0
63,434.66368,0.00506,0.12919,0.01769,-84.11989,1.76385,13.3788,1.06192,0.08287,0.15634,434.66373,0.12927,-84.11312,13.37949,1564783200.0,1564804979.0
64,435.17694,0.00335,0.14361,0.00811,-71.03756,1.39957,25.13003,1.36317,0.12264,0.21539,435.1769,0.1436,-71.04282,25.12447,1564783200.0,1564804979.0
16,435.65366,0.00657,0.21341,0.02635,-45.14098,1.94383,50.22021,2.29966,0.16425,0.27427,435.6537,0.21341,-45.14353,50.22021,1564783200.0,1564804979.0
17,436.19894,0.00506,0.12919,0.01769,-84.11989,1.76385,13.3788,1.06192,0.08287,0.15634,436.19897,0.12919,-84.12007,13.37881,1564783200.0,1564804979.0
18,436.611,0.00113,0.14077,0.00378,-65.11717,1.66786,30.3832,1.7155,0.13274,0.17211,436.61096,0.14077,-65.11425,30.3832,1564783200.0,1564804979.0
20,437.04218,0.00481,0.07812,0.01045,-89.23623,0.70973,8.5153,0.33057,0.05255,0.10212,437.04214,0.0781,-89.2374,8.51527,1564783200.0,1564804979.0
